Month,Day,Hour,AC System Output (kW)
5,21,23,0
5,22,0,0
5,22,1,0
5,22,2,0
5,22,3,0
5,22,4,0
5,22,5,0.004884
5,22,6,0.054856
5,22,7,0.195288
5,22,8,0.410628
5,22,9,0.609627
5,22,10,0.666252
5,22,11,0.693329
5,22,12,0.695707
5,22,13,0.697363
5,22,14,0.686951
5,22,15,0.657245
5,22,16,0.616136
5,22,17,0.326013
5,22,18,0.215372
5,22,19,0.132156
5,22,20,0.054108
5,22,21,0
5,22,22,0
5,22,23,0
5,23,0,0
5,23,1,0
5,23,2,0
5,23,3,0
5,23,4,0
5,23,5,0.019704
5,23,6,0.055692
5,23,7,0.191005
5,23,8,0.540227
5,23,9,0.648691
5,23,10,0.717168
5,23,11,0.753952
5,23,12,0.760547
5,23,13,0.768615
5,23,14,0.767754
5,23,15,0.73451
5,23,16,0.704376
5,23,17,0.63881
5,23,18,0.495428
5,23,19,0.188435
5,23,20,0.060965
5,23,21,0.007149
5,23,22,0
5,23,23,0
5,24,0,0
5,24,1,0
5,24,2,0
5,24,3,0
5,24,4,0
5,24,5,0.030185
5,24,6,0.06467
5,24,7,0.290089
5,24,8,0.590004
5,24,9,0.698854
5,24,10,0.749501
5,24,11,0.772766
5,24,12,0.78699
5,24,13,0.785006
5,24,14,0.77568
5,24,15,0.758187
5,24,16,0.725233
5,24,17,0.661097
5,24,18,0.514974
5,24,19,0.190079
5,24,20,0.061882
5,24,21,0.008446
5,24,22,0
5,24,23,0
5,25,0,0
5,25,1,0
5,25,2,0
5,25,3,0
5,25,4,0
5,25,5,0.017519
5,25,6,0.056557
5,25,7,0.102143
5,25,8,0.248622
5,25,9,0.592452
5,25,10,0.723064
5,25,11,0.748058
5,25,12,0.754763
5,25,13,0.76181
5,25,14,0.762955
5,25,15,0.708588
5,25,16,0.519161
5,25,17,0.62353
5,25,18,0.430791
5,25,19,0.147869
5,25,20,0.042871
5,25,21,0
5,25,22,0
5,25,23,0
5,26,0,0
5,26,1,0
5,26,2,0
5,26,3,0
5,26,4,0
5,26,5,0.006665
5,26,6,0.011143
5,26,7,0.071294
5,26,8,0.153611
5,26,9,0.414071
5,26,10,0.435972
